season,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicates
2020-2021,James Milner,James Milner,100,44.0,,
2020-2021,James Rodríguez,James Rodríguez,100,101.0,,
2020-2021,James Tarkowski,James Tarkowski,100,109.0,,
2020-2021,James Tomkins,James Tomkins,100,18.0,,
2020-2021,,James Trafford,,0.0,,
2020-2021,James Ward-Prowse,James Ward-Prowse,100,156.0,,
2020-2021,Jamie Shackleton,Jamie Shackleton,100,17.0,,
2020-2021,Jamie Vardy,Jamie Vardy,100,187.0,,
2020-2021,Jan Bednarek,Jan Bednarek,100,94.0,,
2020-2021,Jannik Vestergaard,Jannik Vestergaard,100,86.0,,
2020-2021,Japhet Tanganga,Japhet Tanganga,100,14.0,,
2020-2021,,Jarrad Branthwaite,,0.0,,
2020-2021,Jarrod Bowen,Jarrod Bowen,100,141.0,,
2020-2021,,Jason Steele,,0.0,,
2020-2021,Javier Manquillo,Javier Manquillo,100,28.0,,
2020-2021,Jay Rodriguez,Jay Rodriguez,100,54.0,,
2020-2021,,Jay-Roy Grot,,0.0,,
2020-2021,Jayden Bogle,Jayden Bogle,100,39.0,,
2020-2021,Jayson Molumby,Jayson Molumby,100,1.0,,
2020-2021,,Jean Michaël Seri,,0.0,,
2020-2021,Jean-Philippe Gbamin,Jean-Philippe Gbamin,100,1.0,,
2020-2021,Jean-Philippe Mateta,Jean-Philippe Mateta,100,15.0,,
2020-2021,,Jed Steer,,0.0,,
2020-2021,Jeff Hendrick,Jeff Hendrick,100,52.0,,
2020-2021,Jeffrey Schlupp,Jeffrey Schlupp,100,65.0,,
2020-2021,,Jensen Weir,,0.0,,
2020-2021,Jesse Lingard,Jesse Lingard,100,106.0,,
2020-2021,,Jesurun Rak-Sakyi,,0.0,,
2020-2021,Jimmy Dunne,Jimmy Dunne,100,9.0,,
2020-2021,Joachim Andersen,Joachim Andersen,100,93.0,,
2020-2021,Joe Bryan,Joe Bryan,100,27.0,,
2020-2021,,Joe Gelhardt,,0.0,,
2020-2021,,Joe Hart,,0.0,,
2020-2021,Joe Rodon,Joe Rodon,100,27.0,,
2020-2021,Joël Matip,Joel Matip,90,42.0,,
2020-2021,Joel Mumbongo,Joel Mumbongo,100,3.0,,
2020-2021,Joel Ward,Joel Ward,100,66.0,,
2020-2021,Joelinton,Joelinton Cássio Apolinário de Lira,90,74.0,,
2020-2021,Jóhann Berg Guðmundsson,Johann Berg Gudmundsson,91,50.0,,
2020-2021,John Egan,John Egan,100,57.0,,
2020-2021,John Fleck,John Fleck,100,70.0,,
2020-2021,John Lundstram,John Lundstram,100,48.0,,
2020-2021,John McGinn,John McGinn,100,114.0,,
2020-2021,John Ruddy,John Ruddy,100,4.0,,
2020-2021,John Stones,John Stones,100,128.0,,
2020-2021,,Jonas Lössl,,0.0,,
2020-2021,Jonny Castro,Jonathan Castro Otto,100,16.0,,
2020-2021,,Jonathan Leko,,0.0,,
2020-2021,Jonjo Shelvey,Jonjo Shelvey,100,74.0,,
2020-2021,Jonjoe Kenny,Jonjoe Kenny,100,5.0,,
2020-2021,Jonny Evans,Jonny Evans,100,109.0,,
2020-2021,Jordan Ayew,Jordan Ayew,100,70.0,,
2020-2021,Jordan Henderson,Jordan Henderson,100,56.0,,
2020-2021,,Jordan Hugill,,0.0,,
2020-2021,Jordan Pickford,Jordan Pickford,100,114.0,,
2020-2021,,Jordan Stevens,,0.0,,
2020-2021,Jorginho,Jorge Luiz Frello Filho,100,114.0,,
2020-2021,Joe Gomez,Joseph Gomez,86,10.0,True,
2020-2021,Joe Willock,Joseph Willock,88,79.0,True,
2020-2021,Josh Benson,Josh Benson,100,10.0,,
2020-2021,Josh Brownhill,Josh Brownhill,100,74.0,,
2020-2021,Josh Maja,Josh Maja,100,40.0,,
2020-2021,Josh Onomah,Josh Onomah,100,13.0,,
2020-2021,,Josh Sims,,0.0,,
2020-2021,Joshua King,Joshua King,100,11.0,,
2020-2021,,José Diogo Dalot Teixeira,,0.0,,
2020-2021,,José Ignacio Peleteiro Romallo,,0.0,,
2020-2021,José Izquierdo,José Izquierdo,100,1.0,,
2020-2021,João Cancelo,João Cancelo,100,138.0,,
2020-2021,João Moutinho,João Filipe Iria Santos Moutinho,86,73.0,True,
2020-2021,João Virgínia,João Virgínia,100,2.0,,
2020-2021,Joël Veltman,Joël Veltman,100,96.0,,
2020-2021,,Juan Foyth,,0.0,,
2020-2021,Juan Mata,Juan Mata,100,32.0,,
2020-2021,Kai Havertz,Kai Havertz,100,91.0,,
2020-2021,,Kaine Hayden,,0.0,,
2020-2021,Kalvin Phillips,Kalvin Phillips,100,67.0,,
2020-2021,Kamil Grosicki,Kamil Grosicki,100,8.0,,
2020-2021,,Kamil Miazek,,0.0,,
2020-2021,Karl Darlow,Karl Darlow,100,80.0,,
2020-2021,Karlan Grant,Karlan Grant,100,41.0,,
2020-2021,,Karlo Ziger,,0.0,,
2020-2021,Kasper Schmeichel,Kasper Schmeichel,100,128.0,,
2020-2021,Kayne Ramsey,Kayne Ramsay,92,-3.0,,
2020-2021,Kean Bryan,Kean Bryan,100,29.0,,
2020-2021,Keinan Davis,Keinan Davis,100,23.0,,
2020-2021,Kelechi Iheanacho,Kelechi Iheanacho,100,110.0,,
2020-2021,,Kelland Watts,,0.0,,
2020-2021,,Kenneth Zohore,,0.0,,
2020-2021,Kenny Tete,Kenny Tete,100,50.0,,
2020-2021,Kepa Arrizabalaga,Kepa Arrizabalaga,100,26.0,,
2020-2021,Kevin De Bruyne,Kevin De Bruyne,100,141.0,,
2020-2021,Kevin Long,Kevin Long,100,14.0,,
2020-2021,,Kevin McDonald,,0.0,,
2020-2021,,Kgaogelo Chauke,,0.0,,
2020-2021,Ki-Jana Hoever,Ki-Jana Hoever,100,13.0,,
2020-2021,Kieran Gibbs,Kieran Gibbs,100,5.0,,
2020-2021,Kieran Tierney,Kieran Tierney,100,96.0,,
2020-2021,Kostas Tsimikas,Konstantinos Tsimikas,83,2.0,True,
2020-2021,Kortney Hause,Kortney Hause,100,32.0,,
2020-2021,Kurt Zouma,Kurt Zouma,100,108.0,,
2020-2021,Kyle Bartley,Kyle Bartley,100,79.0,,
2020-2021,Kyle Edwards,Kyle Edwards,100,5.0,,
2020-2021,,Kyle John,,0.0,,
2020-2021,Kyle Walker,Kyle Walker,100,91.0,,
2020-2021,Kyle Walker-Peters,Kyle Walker-Peters,100,93.0,,
2020-2021,,Kyron Gordon,,0.0,,
2020-2021,Leander Dendoncker,Leander Dendoncker,100,77.0,,
2020-2021,Leandro Trossard,Leandro Trossard,100,132.0,,
2020-2021,,Lee Grant,,0.0,,
2020-2021,Lee Peltier,Lee Peltier,100,2.0,,
2020-2021,Leif Davis,Leif Davis,100,2.0,,
2020-2021,,Leighton Clarkson,,0.0,,
2020-2021,,Leonardo Campana,,0.0,,
2020-2021,Lewis Dunk,Lewis Dunk,100,130.0,,
2020-2021,,Lewis Richards,,0.0,,
2020-2021,Lewis Richardson,Lewis Richardson,100,2.0,,
2020-2021,Liam Cooper,Liam Cooper,100,59.0,,
2020-2021,Liam Delap,Liam Delap,100,1.0,,
2020-2021,,Liam Hughes,,0.0,,
2020-2021,Lucas Digne,Lucas Digne,100,120.0,,
2020-2021,Lucas Moura,Lucas Rodrigues Moura da Silva,100,80.0,,
2020-2021,,Lucas Torreira,,0.0,,
2020-2021,Luka Milivojević,Luka Milivojevic,94,63.0,,
2020-2021,Łukasz Fabiański,Lukasz Fabianski,88,133.0,True,
2020-2021,Luke Ayling,Luke Ayling,100,100.0,,
2020-2021,,Luke Cundle,,0.0,,
2020-2021,,Luke Freeman,,0.0,,
2020-2021,,Luke Mbete,,0.0,,
2020-2021,Luke Shaw,Luke Shaw,100,124.0,,
2020-2021,Luke Thomas,Luke Thomas,100,26.0,,
2020-2021,Lys Mousset,Lys Mousset,100,13.0,,
2020-2021,,Léo Bonatini,,0.0,,
2020-2021,,Mace Goodridge,,0.0,,
2020-2021,Trézéguet,Mahmoud Ahmed Ibrahim Hassan,100,56.0,,
2020-2021,Mamadou Sakho,Mamadou Sakho,100,4.0,,
2020-2021,Manuel Lanzini,Manuel Lanzini,100,28.0,,
2020-2021,Marc Albrighton,Marc Albrighton,100,78.0,,
2020-2021,Marcos Alonso,Marcos Alonso,100,57.0,,
2020-2021,,Marcos Rojo,,0.0,,
2020-2021,,Marcus Bettinelli,,0.0,,
2020-2021,Marcus Rashford,Marcus Rashford,100,174.0,,
2020-2021,Marek Rodák,Marek Rodák,100,2.0,,
2020-2021,Mario Lemina,Mario Lemina,100,55.0,,
2020-2021,,Mark Gillespie,,0.0,,
2020-2021,Mark Noble,Mark Noble,100,27.0,,
2020-2021,Martin Dúbravka,Martin Dubravka,93,48.0,,
2020-2021,Martin Kelly,Martin Kelly,100,1.0,,
2020-2021,Martin Ødegaard,Martin Ødegaard,100,40.0,,
2020-2021,,Martín Montoya,,0.0,,
2020-2021,Marvelous Nakamba,Marvelous Nakamba,100,27.0,,
2020-2021,Mason Greenwood,Mason Greenwood,100,106.0,,
2020-2021,Mason Holgate,Mason Holgate,100,80.0,,
2020-2021,Mason Mount,Mason Mount,100,147.0,,
2020-2021,Matěj Vydra,Matej Vydra,91,62.0,,
2020-2021,Mateo Kovačić,Mateo Kovacic,100,54.0,,
2020-2021,,Mateusz Bogusz,,0.0,,
2020-2021,Mateusz Klich,Mateusz Klich,100,99.0,,
2020-2021,Matheus Pereira,Matheus Pereira,100,153.0,,
2020-2021,Mathew Ryan,Mathew Ryan,100,37.0,,
2020-2021,,Matija Sarkic,,0.0,,
2020-2021,Matt Doherty,Matt Doherty,100,47.0,,
2020-2021,,Matt Macey,,0.0,,
2020-2021,Matt Phillips,Matt Phillips,100,69.0,,
2020-2021,Matt Ritchie,Matt Ritchie,100,52.0,,
2020-2021,Matt Targett,Matt Targett,100,138.0,,
2020-2021,,Matteo Guendouzi,,0.0,,
2020-2021,Matty Cash,Matthew Cash,82,89.0,True,
2020-2021,,Matthew Clarke,,0.0,,
2020-2021,Matthew Longstaff,Matthew Longstaff,100,10.0,,
2020-2021,Matthew Lowton,Matthew Lowton,100,103.0,,
2020-2021,,Matty James,,0.0,,
2020-2021,Max Kilman,Max Kilman,100,58.0,,
2020-2021,Max Lowe,Max Lowe,100,9.0,,
2020-2021,,Max Meyer,,0.0,,
2020-2021,,Max Sanders,,0.0,,
2020-2021,,Max Thompson,,0.0,,
2020-2021,Maxime Le Marchand,Maxime Le Marchand,100,1.0,,
2020-2021,Mbaye Diagne,Mbaye Diagne,100,57.0,,
2020-2021,,Mbwana Samatta,,0.0,,
2020-2021,,Meritan Shabani,,0.0,,
2020-2021,,Mesut Özil,,0.0,,
2020-2021,Michael Hector,Michael Hector,100,0.0,,
2020-2021,Michael Keane,Michael Keane,100,127.0,,
2020-2021,Michael Obafemi,Michael Obafemi,100,4.0,,
2020-2021,,Michael Verrips,,0.0,,
2020-2021,Michail Antonio,Michail Antonio,100,118.0,,
2020-2021,,Michal Karbownik,,0.0,,
2020-2021,Michy Batshuayi,Michy Batshuayi,100,41.0,,
2020-2021,Miguel Almirón,Miguel Almirón,100,97.0,,
2020-2021,,Miguel Azeez,,0.0,,
2020-2021,Mohamed Elneny,Mohamed Naser El Sayed Elneny,86,50.0,True,
2020-2021,Mohamed Salah,Mohamed Salah,100,231.0,,
2020-2021,Mohammed Salisu,Mohammed Salisu,100,14.0,,
2020-2021,Moise Kean,Moise Kean,100,2.0,,
2020-2021,,Moisés Caicedo,,0.0,,
2020-2021,Morgan Gibbs-White,Morgan Gibbs-White,100,22.0,,
2020-2021,Morgan Sanson,Morgan Sanson,100,10.0,,
2020-2021,Moussa Djenepo,Moussa Djenepo,100,46.0,,
2020-2021,Moussa Sissoko,Moussa Sissoko,100,44.0,,
2020-2021,N'Golo Kanté,N'Golo Kanté,100,62.0,,
2020-2021,Naby Keïta,Naby Keita,90,15.0,,
2020-2021,Nampalys Mendy,Nampalys Mendy,100,41.0,,
2020-2021,Nathan Aké,Nathan Aké,100,29.0,,
2020-2021,,Nathan Bishop,,0.0,,
2020-2021,Nathan Broadhead,Nathan Broadhead,100,1.0,,
2020-2021,,Nathan Ferguson,,0.0,,
2020-2021,Nathan Redmond,Nathan Redmond,100,67.0,,
2020-2021,Nathan Tella,Nathan Tella,100,36.0,,
2020-2021,,Nathan Trott,,0.0,,
2020-2021,Nathaniel Clyne,Nathaniel Clyne,100,28.0,,
2020-2021,Nathaniel Phillips,Nathaniel Phillips,100,68.0,,
2020-2021,Neal Maupay,Neal Maupay,100,105.0,,
2020-2021,Neco Williams,Neco Williams,100,11.0,,
2020-2021,Neeskens Kebano,Neeskens Kebano,100,6.0,,
2020-2021,Neil Taylor,Neil Taylor,100,-1.0,,
2020-2021,Nemanja Matić,Nemanja Matic,92,36.0,,
2020-2021,Niall Huggins,Niall Huggins,100,1.0,,
2020-2021,Nick Pope,Nick Pope,100,144.0,,
2020-2021,Nicolas Pépé,Nicolas Pépé,100,114.0,,
2020-2021,,Nicolás Otamendi,,0.0,,
2020-2021,Niels Nkounkou,Niels Nkounkou,100,2.0,,
2020-2021,,Nigel Lonwijk,,0.0,,
2020-2021,,Nile John,,0.0,,
2020-2021,Nélson Semedo,Nélson Cabral Semedo,86,109.0,True,
2020-2021,Odion Ighalo,Odion Ighalo,100,1.0,,
2020-2021,Okay Yokuşlu,Okay Yokuslu,92,34.0,,
2020-2021,Ola Aina,Ola Aina,100,102.0,,
2020-2021,Oleksandr Zinchenko,Oleksandr Zinchenko,100,69.0,,
2020-2021,Oliver Burke,Oliver Burke,100,46.0,,
2020-2021,,Oliver Casey,,0.0,,
2020-2021,Oliver McBurnie,Oliver McBurnie,100,44.0,,
2020-2021,Oliver Norwood,Oliver Norwood,100,54.0,,
2020-2021,,Oliver Skipp,,0.0,,
2020-2021,Olivier Giroud,Olivier Giroud,100,47.0,,
2020-2021,Ollie Watkins,Ollie Watkins,100,168.0,,
2020-2021,Semi Ajayi,Oluwasemilogo Adesewo Ibidapo Ajayi,86,51.0,True,
2020-2021,Oriol Romeu,Oriol Romeu Vidal,90,52.0,,
2020-2021,Oskar Buur,Oskar Buur,100,1.0,,
2020-2021,Owen Otasowie,Owen Otasowie,100,9.0,,
2020-2021,Ozan Kabak,Ozan Kabak,100,26.0,,
2020-2021,Pablo Fornals,Pablo Fornals,100,125.0,,
2020-2021,Pablo Hernández,Pablo Hernández Domínguez,90,28.0,,
2020-2021,Pablo Marí,Pablo Marí,100,34.0,,
2020-2021,Pascal Groß,Pascal Groß,100,116.0,,
2020-2021,Pascal Struijk,Pascal Struijk,100,71.0,,
2020-2021,Patrick Bamford,Patrick Bamford,100,194.0,,
2020-2021,Patrick Cutrone,Patrick Cutrone,100,2.0,,
2020-2021,Patrick van Aanholt,Patrick van Aanholt,100,54.0,,
2020-2021,Paul Dummett,Paul Dummett,100,40.0,,
2020-2021,Paul Pogba,Paul Pogba,100,92.0,,
2020-2021,,Paulo Gazzaniga,,0.0,,
2020-2021,Pedro Neto,Pedro Lomba Neto,100,124.0,,
2020-2021,Percy Tau,Percy Tau,100,7.0,,
2020-2021,Phil Bardsley,Phil Bardsley,100,2.0,,
2020-2021,Phil Foden,Phil Foden,100,135.0,,
2020-2021,Phil Jagielka,Phil Jagielka,100,5.0,,
2020-2021,,Phil Jones,,0.0,,
2020-2021,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,100,131.0,,
2020-2021,Pierre Højbjerg,Pierre-Emile Højbjerg,95,107.0,,
2020-2021,Raheem Sterling,Raheem Sterling,100,154.0,,
2020-2021,Raphinha,Raphael Dias Belloli,100,133.0,,
2020-2021,Rayan Aït Nouri,Rayan Ait Nouri,93,54.0,,
2020-2021,Raúl Jiménez,Raúl Jiménez,100,43.0,,
2020-2021,Reda Khadra,Reda Khadra,100,1.0,,
2020-2021,,Reece Hannam,,0.0,,
2020-2021,Reece James,Reece James,100,112.0,,
2020-2021,,Reece Welch,,0.0,,
2020-2021,Reiss Nelson,Reiss Nelson,100,2.0,,
2020-2021,Rekeem Harper,Rekeem Harper,100,2.0,,
2020-2021,Rhian Brewster,Rhian Brewster,100,34.0,,
2020-2021,Rhys Williams,Rhys Williams,100,28.0,,
2020-2021,Ricardo Pereira,Ricardo Barbosa Pereira,100,27.0,,
2020-2021,,Richard Nartey,,0.0,,
2020-2021,Richarlison,Richarlison de Andrade,90,123.0,,
2020-2021,Riyad Mahrez,Riyad Mahrez,100,145.0,,
2020-2021,Rob Holding,Rob Holding,100,105.0,,
2020-2021,Robbie Brady,Robbie Brady,100,44.0,,
2020-2021,Robert Snodgrass,Robert Snodgrass,100,14.0,,
2020-2021,Robert Sánchez,Robert Sánchez,100,101.0,,
2020-2021,Roberto Firmino,Roberto Firmino,100,141.0,,
2020-2021,,Roberto Jimenez Gago,,0.0,,
2020-2021,Robin Koch,Robin Koch,100,38.0,,
2020-2021,Robin Olsen,Robin Olsen,100,25.0,,
2020-2021,Rodri,Rodrigo Hernandez,100,91.0,,
2020-2021,Rodrigo,Rodrigo Moreno,100,89.0,,
2020-2021,,Rolando Aarons,,0.0,,
2020-2021,Romain Saïss,Romain Saïss,100,99.0,,
2020-2021,Romaine Sawyers,Romaine Sawyers,100,33.0,,
2020-2021,Ross Barkley,Ross Barkley,100,76.0,,
2020-2021,Ruben Loftus-Cheek,Ruben Loftus-Cheek,100,66.0,,
2020-2021,Rui Patrício,Rui Pedro dos Santos Patrício,100,132.0,,
2020-2021,,Ryan Astley,,0.0,,
2020-2021,,Ryan Bennett,,0.0,,
2020-2021,Ryan Bertrand,Ryan Bertrand,100,78.0,,
2020-2021,,Ryan Finnigan,,0.0,,
2020-2021,Ryan Fraser,Ryan Fraser,100,39.0,,
2020-2021,Ryan Fredericks,Ryan Fredericks,100,28.0,,
2020-2021,,Ryan Inniss,,0.0,,
2020-2021,,Ryan Sessegnon,,0.0,,
2020-2021,Rúben Dias,Rúben Gato Alves Dias,100,142.0,,
2020-2021,Rúben Vinagre,Rúben Nascimento Vinagre,100,1.0,,
2020-2021,Rúben Neves,Rúben da Silva Neves,100,104.0,,
2020-2021,Rúnar Alex Rúnarsson,Rúnar Alex Rúnarsson,100,1.0,,
2020-2021,Sadio Mané,Sadio Mané,100,176.0,,
2020-2021,Sam Field,Sam Field,100,3.0,,
2020-2021,,Sam Greenwood,,0.0,,
2020-2021,Sam Johnstone,Sam Johnstone,100,140.0,,
2020-2021,,Sam Woods,,0.0,,
2020-2021,Sander Berge,Sander Berge,100,31.0,,
2020-2021,Saïd Benrahma,Saïd Benrahma,100,73.0,,
2020-2021,Scott Carson,Scott Carson,100,7.0,,
2020-2021,Scott Dann,Scott Dann,100,39.0,,
2020-2021,Scott McTominay,Scott McTominay,100,91.0,,
2020-2021,Sead Kolašinac,Sead Kolasinac,93,2.0,,
2020-2021,Séamus Coleman,Seamus Coleman,93,81.0,,
2020-2021,Sean Longstaff,Sean Longstaff,100,41.0,,
2020-2021,Serge Aurier,Serge Aurier,100,80.0,,
2020-2021,Sergio Agüero,Sergio Agüero,100,38.0,,
2020-2021,Sergio Reguilón,Sergio Reguilón,100,89.0,,
2020-2021,,Sergio Romero,,0.0,,
2020-2021,,Shane Duffy,,0.0,,
2020-2021,,Shane Flynn,,0.0,,
2020-2021,Shane Long,Shane Long,100,12.0,,
2020-2021,Shkodran Mustafi,Shkodran Mustafi,100,3.0,,
2020-2021,Shola Shoretire,Shola Shoretire,100,2.0,,
2020-2021,Sidnei Tavares,Sidnei Tavares,100,3.0,,
2020-2021,,Simon Moore,,0.0,,
2020-2021,,Sofiane Boufal,,0.0,,
2020-2021,,Sokratis Papastathopoulos,,0.0,,
2020-2021,Solly March,Solomon March,75,69.0,True,
2020-2021,,Stefan Johansen,,0.0,,
2020-2021,,Stephen Henderson,,0.0,,
2020-2021,Steven Alzate,Steven Alzate,100,35.0,,
2020-2021,Steven Bergwijn,Steven Bergwijn,100,55.0,,
2020-2021,Stuart Armstrong,Stuart Armstrong,100,115.0,,
2020-2021,Stuart Dallas,Stuart Dallas,100,171.0,,
2020-2021,,Sylvester Jasper,,0.0,,
2020-2021,Sébastien Haller,Sébastien Haller,100,41.0,,
2020-2021,,Tahith Chong,,0.0,,
2020-2021,Takumi Minamino,Takumi Minamino,100,48.0,,
2020-2021,Tammy Abraham,Tammy Abraham,100,69.0,,
2020-2021,Tanguy Ndombele,Tanguy Ndombele,100,99.0,,
2020-2021,Tariq Lamptey,Tariq Lamptey,100,35.0,,
2020-2021,,Tawanda Maswanhise,,0.0,,
2020-2021,,Taylor Gardner-Hickman,,0.0,,
2020-2021,,Taylor Harwood-Bellis,,0.0,,
2020-2021,,Taylor Perry,,0.0,,
2020-2021,,Teddy Jenks,,0.0,,
2020-2021,,Teden Mengi,,0.0,,
2020-2021,Terence Kongolo,Terence Kongolo,100,2.0,,
2020-2021,Khanya Leshabela,Thakgalo Leshabela,76,1.0,True,
2020-2021,,Thanawat Suengchitthawon,,0.0,,
2020-2021,Theo Corbeanu,Theo Corbeanu,100,1.0,,
2020-2021,Theo Walcott,Theo Walcott,100,76.0,,
2020-2021,Thiago Alcántara,Thiago Alcántara do Nascimento,100,55.0,,
2020-2021,Thiago Silva,Thiago Emiliano da Silva,100,92.0,,
2020-2021,,Thomas McGill,,0.0,,
2020-2021,Thomas Partey,Thomas Partey,100,47.0,,
2020-2021,,Tim Iroegbunam,,0.0,,
2020-2021,Tim Ream,Tim Ream,100,10.0,,
2020-2021,Timo Werner,Timo Werner,100,128.0,,
2020-2021,Timothy Castagne,Timothy Castagne,100,94.0,,
2020-2021,Timothy Fosu-Mensah,Timothy Fosu-Mensah,100,0.0,,
2020-2021,Toby Alderweireld,Toby Alderweireld,100,88.0,,
2020-2021,,Toby King,,0.0,,
2020-2021,Tom Cairney,Tom Cairney,100,27.0,,
2020-2021,Tom Davies,Tom Davies,100,47.0,,
2020-2021,,Tom Heaton,,0.0,,
2020-2021,Tomáš Souček,Tomas Soucek,100,147.0,,
2020-2021,,Tommy Doyle,,0.0,,
2020-2021,Tosin Adarabioyo,Tosin Adarabioyo,100,100.0,,
2020-2021,Trent Alexander-Arnold,Trent Alexander-Arnold,100,160.0,,
2020-2021,,Tyler Onyango,,0.0,,
2020-2021,Tyler Roberts,Tyler Roberts,100,49.0,,
2020-2021,Tyrese Francois,Tyrese Francois,100,1.0,,
2020-2021,Tyrick Mitchell,Tyrick Mitchell,100,58.0,,
2020-2021,Tyrone Mings,Tyrone Mings,100,128.0,,
2020-2021,,Valentino Livramento,,0.0,,
2020-2021,Vicente Guaita,Vicente Guaita,100,124.0,,
2020-2021,Victor Lindelöf,Victor Lindelöf,100,102.0,,
2020-2021,Virgil van Dijk,Virgil van Dijk,100,15.0,,
2020-2021,Vitinha,Vitor Ferreira,100,26.0,,
2020-2021,Vladimír Coufal,Vladimir Coufal,93,128.0,,
2020-2021,,Vontae Daley-Campbell,,0.0,,
2020-2021,,Wayne Hennessey,,0.0,,
2020-2021,,Wes Foderingham,,0.0,,
2020-2021,Wes Morgan,Wes Morgan,100,3.0,,
2020-2021,Wesley Fofana,Wesley Fofana,100,71.0,,
2020-2021,Wesley Moraes,Wesley Moraes,100,3.0,,
2020-2021,Wilfred Ndidi,Wilfred Ndidi,100,79.0,,
2020-2021,Wilfried Zaha,Wilfried Zaha,100,136.0,,
2020-2021,,Will Ferry,,0.0,,
2020-2021,Will Norris,Will Norris,100,3.0,,
2020-2021,William Thomas Fish,William Fish,100,1.0,,
2020-2021,,William Osula,,0.0,,
2020-2021,,William Saliba,,0.0,,
2020-2021,William Smallbone,William Smallbone,100,5.0,,
2020-2021,Willian,Willian Borges Da Silva,90,78.0,,
2020-2021,Willian José,Willian José Da Silva,90,40.0,,
2020-2021,Willy Boly,Willy Boly,100,68.0,,
2020-2021,Willy Caballero,Willy Caballero,100,1.0,,
2020-2021,Xherdan Shaqiri,Xherdan Shaqiri,100,26.0,,
2020-2021,Yan Valery,Yan Valery,100,3.0,,
2020-2021,Yerry Mina,Yerry Mina,100,79.0,,
2020-2021,,Yoshinori Muto,,0.0,,
2020-2021,Youri Tielemans,Youri Tielemans,100,133.0,,
2020-2021,Yves Bissouma,Yves Bissouma,100,77.0,,
2020-2021,Zack Steffen,Zack Steffen,100,2.0,,
2020-2021,,Zak Brunt,,0.0,,
2020-2021,,Zeze Steven Sessegnon,,0.0,,
2020-2021,Çağlar Söyüncü,Çaglar Söyüncü,93,59.0,,
2020-2021,,Ørjan Nyland,,0.0,,
2021-2022,Aaron Connolly,Aaron Connolly,100,5.0,,
2021-2022,Aaron Cresswell,Aaron Cresswell,100,115.0,,
2021-2022,Aaron Lennon,Aaron Lennon,100,60.0,,
2021-2022,Aaron Ramsdale,Aaron Ramsdale,100,135.0,,
2021-2022,,Aaron Ramsey,,0.0,,
2021-2022,Aaron Wan-Bissaka,Aaron Wan-Bissaka,100,41.0,,
2021-2022,Abdoulaye Doucouré,Abdoulaye Doucouré,100,90.0,,
2021-2022,,Abu Kamara,,0.0,,
2021-2022,Adam Armstrong,Adam Armstrong,100,57.0,,
2021-2022,Adam Forshaw,Adam Forshaw,100,38.0,,
2021-2022,Adam Idah,Adam Idah,100,36.0,,
2021-2022,Adam Lallana,Adam Lallana,100,44.0,,
2021-2022,Adam Masina,Adam Masina,100,25.0,,
2021-2022,Adam Webster,Adam Webster,100,59.0,,
2021-2022,Adama Traoré,Adama Traoré,100,44.0,,
2021-2022,,Adedapo Awokoya-Mebude,,0.0,,
2021-2022,Ademola Lookman,Ademola Lookman,100,76.0,,
2021-2022,,Adrian Blake,,0.0,,
2021-2022,,Adrián San Miguel del Castillo,,0.0,,
2021-2022,Ainsley Maitland-Niles,Ainsley Maitland-Niles,100,12.0,,
2021-2022,,Ajibola Alese,,0.0,,
2021-2022,Albert Sambi Lokonga,Albert Sambi Lokonga,100,32.0,,
2021-2022,Alejandro Garnacho,Alejandro Garnacho Ferreyra,90,2.0,,
2021-2022,Alex Iwobi,Alex Iwobi,100,78.0,,
2021-2022,,Alex Kirk,,0.0,,
2021-2022,Alex Král,Alex Kral,89,1.0,True,
2021-2022,Alex McCarthy,Alex McCarthy,100,55.0,,
2021-2022,Alex Telles,Alex Nicolao Telles,86,67.0,True,
2021-2022,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,100,42.0,,
2021-2022,Alexandre Lacazette,Alexandre Lacazette,100,90.0,,
2021-2022,Alexis Mac Allister,Alexis Mac Allister,100,93.0,,
2021-2022,,Alfie Devine,,0.0,,
2021-2022,,Alireza Jahanbakhsh,,0.0,,
2021-2022,Alisson,Alisson Ramses Becker,90,176.0,,
2021-2022,Allan,Allan Marques Loureiro,100,58.0,,
2021-2022,Allan Saint-Maximin,Allan Saint-Maximin,100,116.0,,
2021-2022,Alphonse Areola,Alphonse Areola,100,2.0,,
2021-2022,,Amad Diallo,,0.0,,
2021-2022,,Andi Zeqiri,,0.0,,
2021-2022,,Andre Gray,,0.0,,
2021-2022,Andreas Christensen,Andreas Christensen,100,69.0,,
2021-2022,,Andreas Pereira,,0.0,,
2021-2022,,Andreas Söndergaard,,0.0,,
2021-2022,Andrew Omobamidele,Andrew Omobamidele,100,14.0,,
2021-2022,Andrew Robertson,Andrew Robertson,100,186.0,,
2021-2022,Andriy Yarmolenko,Andriy Yarmolenko,100,25.0,,
2021-2022,Andros Townsend,Andros Townsend,100,66.0,,
2021-2022,André Gomes,André Filipe Tavares Gomes,86,18.0,True,
2021-2022,,Andy Lonergan,,0.0,,
2021-2022,Angelo Ogbonna,Angelo Ogbonna,100,40.0,,
2021-2022,Angus Gunn,Angus Gunn,100,31.0,,
2021-2022,Anthony Elanga,Anthony Elanga,100,59.0,,
2021-2022,Anthony Gordon,Anthony Gordon,100,100.0,,
